country,tenkm
Scotland,HP30
Scotland,HP40
Scotland,HP50
Scotland,HP51
Scotland,HP52
Scotland,HP60
Scotland,HP61
Scotland,HP62
Scotland,HP71
Scotland,HT93
Scotland,HT94
Scotland,HU03
Scotland,HU04
Scotland,HU06
Scotland,HU14
Scotland,HU15
Scotland,HU16
Scotland,HU17
Scotland,HU18
Scotland,HU23
Scotland,HU24
Scotland,HU25
Scotland,HU26
Scotland,HU27
Scotland,HU28
Scotland,HU29
Scotland,HU30
Scotland,HU31
Scotland,HU32
Scotland,HU33
Scotland,HU34
Scotland,HU35
Scotland,HU36
Scotland,HU37
Scotland,HU38
Scotland,HU39
Scotland,HU40
Scotland,HU41
Scotland,HU42
Scotland,HU43
Scotland,HU44
Scotland,HU45
Scotland,HU46
Scotland,HU47
Scotland,HU48
Scotland,HU49
Scotland,HU52
Scotland,HU53
Scotland,HU54
Scotland,HU55
Scotland,HU56
Scotland,HU57
Scotland,HU58
Scotland,HU59
Scotland,HU65
Scotland,HU66
Scotland,HU67
Scotland,HU68
Scotland,HU69
Scotland,HU76
Scotland,HU77
Scotland,HU78
Scotland,HU79
Scotland,HW52
Scotland,HW53
Scotland,HW62
Scotland,HW63
Scotland,HW72
Scotland,HW73
Scotland,HW82
Scotland,HW83
Scotland,HX51
Scotland,HX52
Scotland,HX62
Scotland,HY10
Scotland,HY11
Scotland,HY12
Scotland,HY20
Scotland,HY21
Scotland,HY22
Scotland,HY23
Scotland,HY30
Scotland,HY31
Scotland,HY32
Scotland,HY33
Scotland,HY34
Scotland,HY35
Scotland,HY40
Scotland,HY41
Scotland,HY42
Scotland,HY43
Scotland,HY44
Scotland,HY45
Scotland,HY50
Scotland,HY51
Scotland,HY52
Scotland,HY53
Scotland,HY54
Scotland,HY55
Scotland,HY60
Scotland,HY61
Scotland,HY62
Scotland,HY63
Scotland,HY64
Scotland,HY65
Scotland,HY71
Scotland,HY72
Scotland,HY73
Scotland,HY74
Scotland,HY75
Scotland,HY83
Scotland,HY84
Scotland,HY85
Scotland,HZ16
Scotland,HZ17
Scotland,HZ26
Scotland,HZ27
Republic of Ireland,IB60
Republic of Ireland,IB61
Republic of Ireland,IB62
Republic of Ireland,IB70
Republic of Ireland,IB71
Republic of Ireland,IB72
Republic of Ireland,IB73
Republic of Ireland,IB74
Republic of Ireland,IB80
Republic of Ireland,IB81
Republic of Ireland,IB82
Republic of Ireland,IB83
Republic of Ireland,IB84
Republic of Ireland,IB85
Republic of Ireland,IB90
Republic of Ireland,IB91
Republic of Ireland,IB92
Republic of Ireland,IB93
Republic of Ireland,IB94
Republic of Ireland,IC00
Republic of Ireland,IC01
Republic of Ireland,IC02
Republic of Ireland,IC03
Republic of Ireland,IC04
Republic of Ireland,IC10
Republic of Ireland,IC11
Republic of Ireland,IC12
Republic of Ireland,IC13
Republic of Ireland,IC14
Republic of Ireland,IC15
Republic of Ireland,IC20
Republic of Ireland,IC21
Republic of Ireland,IC22
Republic of Ireland,IC23
Republic of Ireland,IC24
Republic of Ireland,IC25
Republic of Ireland,IC30
Republic of Ireland,IC31
Republic of Ireland,IC32
Republic of Ireland,IC33
Republic of Ireland,IC34
Republic of Ireland,IC35
Republic of Ireland,IC36
Northern Ireland,IC40
Northern Ireland,IC41
Republic of Ireland,IC42
Republic of Ireland,IC43
Republic of Ireland,IC44
Republic of Ireland,IC45
Republic of Ireland,IC46
Northern Ireland,IC50
Northern Ireland,IC51
Northern Ireland,IC52
Republic of Ireland,IC53
Republic of Ireland,IC54
Republic of Ireland,IC55
Republic of Ireland,IC56
Northern Ireland,IC60
Northern Ireland,IC61
Northern Ireland,IC62
Northern Ireland,IC63
Republic of Ireland,IC64
Republic of Ireland,IC65
Northern Ireland,IC70
Northern Ireland,IC71
Northern Ireland,IC72
Northern Ireland,IC73
Republic of Ireland,IC74
Northern Ireland,IC80
Northern Ireland,IC81
Northern Ireland,IC82
Northern Ireland,IC83
Northern Ireland,IC84
Northern Ireland,IC90
Northern Ireland,IC91
Northern Ireland,IC92
Northern Ireland,IC93
Northern Ireland,IC94
Northern Ireland,ID00
Northern Ireland,ID01
Northern Ireland,ID02
Northern Ireland,ID03
Northern Ireland,ID04
Northern Ireland,ID05
Northern Ireland,ID10
Northern Ireland,ID11
Northern Ireland,ID12
Northern Ireland,ID13
Northern Ireland,ID14
Northern Ireland,ID15
Northern Ireland,ID20
Northern Ireland,ID21
Northern Ireland,ID22
Northern Ireland,ID23
Northern Ireland,ID24
Northern Ireland,ID30
Northern Ireland,ID31
Northern Ireland,ID32
Northern Ireland,ID40
Northern Ireland,ID41
Northern Ireland,ID42
Northern Ireland,ID50
Republic of Ireland,IF41
Republic of Ireland,IF50
Republic of Ireland,IF51
Republic of Ireland,IF52
Republic of Ireland,IF53
Republic of Ireland,IF60
Republic of Ireland,IF61
Republic of Ireland,IF62
Republic of Ireland,IF63
Republic of Ireland,IF64
Republic of Ireland,IF70
Republic of Ireland,IF71
Republic of Ireland,IF72
Republic of Ireland,IF73
Republic of Ireland,IF74
Republic of Ireland,IF80
Republic of Ireland,IF81
Republic of Ireland,IF82
Republic of Ireland,IF83
